EventID,EventName,EventType,Department,DayOfWeek,Season,TimeOfDay,VenueCapacity,Attendance,AttendanceLevel,FeedbackScore,EngagementIndex
584,Event_584,Workshop,ECE,Saturday,Summer,Morning,323,290,High,4.0,4.458204334
692,Event_692,Hackathon,CSE,Thursday,Monsoon,Afternoon,217,108,Medium,5.0,2.488479263
534,Event_534,Hackathon,ECE,Tuesday,Summer,Morning,470,276,Medium,4.0,2.34893617
258,Event_258,Hackathon,Management,Thursday,Winter,Morning,359,144,Medium,1.0,0.420612813
402,Event_402,Hackathon,CSE,Monday,Winter,Morning,248,101,Medium,4.0,1.258064516
653,Event_653,Sports,CSE,Wednesday,Summer,Evening,373,87,Low,2.0,0.466487936
34,Event_34,Workshop,ECE,Tuesday,Winter,Evening,114,76,Medium,1.0,0.666666667
401,Event_401,Sports,Management,Friday,Summer,Morning,139,59,Low,4.0,1.079136691
45,Event_45,Cultural,Mechanical,Saturday,Monsoon,Evening,237,189,High,2.0,1.594936709
522,Event_522,Workshop,Civil,Thursday,Winter,Evening,476,423,High,5.0,4.443277311
660,Event_660,Sports,Management,Tuesday,Summer,Evening,329,327,High,3.0,1.951367781
53,Event_53,Seminar,CSE,Friday,Monsoon,Morning,240,131,Medium,2.0,1.15
540,Event_540,Seminar,,Monday,Winter,Afternoon,304,56,Low,4.0,0.842105263
315,Event_315,Cultural,Mechanical,Wednesday,Summer,Afternoon,421,134,Low,3.0,1.178147268
443,Event_443,Sports,CSE,Saturday,Summer,Evening,64,17,Low,4.0,0.9375
541,Event_541,Workshop,CSE,Monday,Monsoon,Evening,220,149,Medium,5.0,3.181818182
242,Event_242,Workshop,Management,Friday,Monsoon,Morning,305,179,Medium,1.0,0.570491803
367,Event_367,Seminar,Civil,Monday,Summer,Evening,266,106,Low,4.0,1.563909774
171,Event_171,Workshop,Mechanical,Thursday,Winter,Evening,313,261,High,5.0,4.265175719
148,Event_148,Sports,Mechanical,Tuesday,Summer,Afternoon,464,223,Medium,2.0,0.987068966
203,Event_203,Workshop,Management,Saturday,Summer,Evening,267,99,Low,2.0,1.101123596
76,Event_76,Cultural,CSE,Monday,Winter,Evening,65,29,Low,2.0,0.353846154
133,Event_133,Seminar,ECE,Thursday,Summer,Morning,227,138,Medium,5.0,2.841409692
27,Event_27,Sports,Civil,Wednesday,Monsoon,Afternoon,313,96,Low,4.0,1.226837061
596,Event_596,Hackathon,ECE,Tuesday,Monsoon,Morning,203,132,Medium,4.0,1.876847291
64,Event_64,Cultural,,Friday,Summer,Afternoon,404,148,Low,1.0,0.366336634
163,Event_163,Hackathon,Mechanical,Thursday,Summer,Morning,323,113,Low,5.0,1.486068111
364,Event_364,Hackathon,CSE,Tuesday,Monsoon,Evening,380,203,Medium,4.0,1.602631579
283,Event_283,Workshop,Civil,Tuesday,Winter,Afternoon,301,170,Medium,1.0,1.149501661
228,Event_228,Cultural,Civil,Saturday,Monsoon,Morning,389,223,Medium,2.0,1.146529563
642,Event_642,Hackathon,CSE,Tuesday,Winter,Afternoon,165,99,Medium,3.0,2.351515152
493,Event_493,Seminar,Management,Wednesday,Summer,Afternoon,323,135,Medium,3.0,0.817337461
226,Event_226,Workshop,Mechanical,Thursday,Monsoon,Evening,250,90,Low,5.0,1.9
96,Event_96,Sports,ECE,Monday,Monsoon,Morning,264,165,Medium,5.0,2.560606061
482,Event_482,Seminar,Civil,Thursday,Monsoon,Morning,301,81,Low,5.0,1.22923588
379,Event_379,Cultural,Mechanical,Wednesday,Summer,Morning,254,56,Low,3.0,0.503937008
637,Event_637,Workshop,ECE,Saturday,Summer,Afternoon,328,97,Low,4.0,1.207317073
416,Event_416,Hackathon,Civil,Thursday,Winter,Evening,370,175,Medium,1.0,0.454054054
560,Event_560,Seminar,CSE,Tuesday,Winter,Afternoon,314,110,Low,2.0,0.636942675
192,Event_192,Hackathon,Management,Thursday,Winter,Evening,356,290,High,5.0,3.370786517
21,Event_21,Cultural,Mechanical,Thursday,Winter,Afternoon,106,47,Low,3.0,1.103773585
229,Event_229,Sports,CSE,Friday,Winter,Afternoon,260,160,Medium,4.0,3.211538462
302,Event_302,Hackathon,Civil,Wednesday,Summer,Afternoon,307,264,High,5.0,4.397394137
304,Event_304,Hackathon,Civil,Thursday,Summer,Morning,405,238,Medium,4.0,2.360493827
615,Event_615,Workshop,Management,Wednesday,Summer,Evening,117,84,High,,2.905982906
342,Event_342,Seminar,ECE,Thursday,Winter,Afternoon,470,210,Medium,3.0,0.863829787
17,Event_17,Seminar,ECE,Monday,Monsoon,Afternoon,201,134,Medium,5.0,3.258706468
33,Event_33,Seminar,Civil,Tuesday,Summer,Morning,116,116,High,1.0,0.965517241
538,Event_538,Sports,CSE,Tuesday,Monsoon,Afternoon,205,60,Low,5.0,1.243902439
648,Event_648,Hackathon,Management,Friday,Summer,Afternoon,196,179,High,1.0,0.913265306
166,Event_166,Cultural,Management,Wednesday,Monsoon,Morning,343,237,Medium,3.0,2.020408163
253,Event_253,Seminar,Civil,Thursday,Summer,Afternoon,435,149,Low,3.0,1.027586207
674,Event_674,Seminar,Mechanical,Friday,Monsoon,Evening,297,88,Low,4.0,1.498316498
100,Event_100,Workshop,Mechanical,Wednesday,Monsoon,Afternoon,76,26,Low,5.0,1.526315789
537,Event_537,Sports,CSE,Tuesday,Monsoon,Morning,150,67,Medium,2.0,1.34
82,Event_82,Workshop,CSE,Saturday,Summer,Afternoon,283,160,Medium,5.0,2.932862191
327,Event_327,Sports,CSE,Thursday,Monsoon,Afternoon,168,93,Medium,1.0,0.494047619
328,Event_328,Hackathon,ECE,Friday,Winter,Afternoon,205,71,Low,4.0,1.482926829
580,Event_580,Seminar,ECE,Monday,Summer,Afternoon,140,86,Medium,3.0,2.035714286
630,Event_630,Seminar,CSE,Wednesday,Summer,Afternoon,352,157,Medium,2.0,1.303977273
170,Event_170,Seminar,Civil,Thursday,Summer,Evening,355,266,High,4.0,2.188732394
418,Event_418,Cultural,Management,Wednesday,Monsoon,Morning,224,156,Medium,1.0,0.6875
79,Event_79,Seminar,Mechanical,Tuesday,Monsoon,Afternoon,194,149,High,3.0,1.567010309
375,Event_375,Workshop,Management,Thursday,Winter,Afternoon,206,68,Low,3.0,1.436893204
84,Event_84,Hackathon,Mechanical,Thursday,Winter,Evening,193,154,High,1.0,1.626943005
642,Event_642,Hackathon,CSE,Tuesday,Winter,Afternoon,165,97,Medium,4.0,2.351515152
547,Event_547,Hackathon,Mechanical,Friday,Summer,Afternoon,104,73,High,3.0,2.961538462
506,Event_506,Workshop,Management,Monday,Summer,Morning,403,373,High,4.0,2.724565757
268,Event_268,Workshop,Management,Monday,Winter,Afternoon,313,73,Low,4.0,1.261980831
298,Event_298,Sports,CSE,Thursday,Winter,Morning,62,48,High,1.0,0.774193548
304,Event_304,Hackathon,Civil,Thursday,Summer,Morning,405,239,Medium,4.0,2.360493827
537,Event_537,Sports,CSE,Tuesday,Monsoon,Morning,150,65,Medium,4.0,1.34
581,Event_581,Seminar,CSE,Monday,Winter,Morning,395,380,High,2.0,1.903797468
21,Event_21,Cultural,Mechanical,Thursday,Winter,Afternoon,106,42,Low,3.0,1.103773585
74,Event_74,Cultural,ECE,Friday,Summer,Evening,172,64,Low,4.0,1.011627907
380,Event_380,Hackathon,ECE,Tuesday,Monsoon,Morning,128,46,Low,4.0,0.84375
187,Event_187,Hackathon,ECE,Tuesday,Summer,Afternoon,211,188,High,2.0,1.857819905
656,Event_656,Workshop,Civil,Friday,Monsoon,Evening,470,255,Medium,5.0,2.712765957
526,Event_526,Seminar,Civil,Thursday,Monsoon,Afternoon,133,133,High,2.0,1.909774436
339,Event_339,Hackathon,ECE,Monday,Winter,Afternoon,271,256,High,4.0,4.557195572
354,Event_354,Seminar,CSE,Tuesday,Monsoon,Evening,61,54,High,5.0,3.803278689
241,Event_241,Sports,ECE,Wednesday,Summer,Morning,195,190,High,4.0,3.897435897
505,Event_505,Sports,Mechanical,Friday,Winter,Evening,174,99,Medium,3.0,2.068965517
653,Event_653,Sports,CSE,Wednesday,Summer,Evening,373,86,Low,2.0,0.466487936
9,Event_9,Sports,CSE,Friday,Monsoon,Afternoon,443,160,Low,2.0,1.042889391
301,Event_301,Hackathon,Civil,Saturday,Summer,Morning,329,129,Low,5.0,1.914893617
280,Event_280,Sports,Mechanical,Tuesday,Winter,Morning,114,101,High,5.0,3.99122807
390,Event_390,Cultural,CSE,Tuesday,Summer,Evening,361,215,Medium,2.0,1.135734072
399,Event_399,Seminar,Civil,Friday,Monsoon,Evening,66,32,Medium,5.0,2.0
110,Event_110,Sports,Management,Friday,Monsoon,Morning,486,308,Medium,5.0,3.137860082
258,Event_258,Hackathon,Management,Thursday,Winter,Morning,359,151,Medium,1.0,0.420612813
541,Event_541,Workshop,CSE,Monday,Monsoon,Evening,220,131,Medium,5.0,3.181818182
164,Event_164,Workshop,ECE,Saturday,Monsoon,Evening,145,71,Medium,4.0,1.344827586
525,Event_525,Hackathon,Mechanical,Saturday,Monsoon,Evening,236,67,Low,1.0,0.313559322
104,Event_104,Cultural,Management,Tuesday,Winter,Afternoon,102,50,Medium,5.0,2.794117647
525,Event_525,Hackathon,Mechanical,Saturday,Monsoon,Evening,236,80,Low,2.0,0.313559322
480,Event_480,Hackathon,CSE,Thursday,Monsoon,Morning,117,36,Low,2.0,0.64957265
419,Event_419,Hackathon,,Friday,Summer,Evening,101,46,Medium,4.0,2.326732673
693,Event_693,Seminar,Management,Thursday,Summer,Evening,440,391,High,1.0,0.911363636
495,Event_495,Hackathon,Management,Thursday,Winter,Afternoon,360,313,High,5.0,3.388888889
676,Event_676,Hackathon,ECE,Thursday,Summer,Evening,328,113,Low,1.0,0.332317073
590,Event_590,Workshop,Management,Tuesday,Summer,Evening,131,57,Low,4.0,1.79389313
625,Event_625,Cultural,ECE,Wednesday,Summer,Evening,420,95,Low,3.0,0.847619048
393,Event_393,Hackathon,ECE,Tuesday,Monsoon,Evening,380,123,Low,2.0,0.621052632
639,Event_639,Seminar,Civil,Friday,Summer,Evening,133,30,Low,3.0,0.631578947
123,Event_123,Hackathon,ECE,Tuesday,Winter,Evening,81,17,Low,3.0,0.839506173
493,Event_493,Seminar,Management,Wednesday,Summer,Afternoon,323,128,Medium,2.0,0.817337461
10,Event_10,Hackathon,CSE,Tuesday,Winter,Afternoon,347,112,Low,3.0,0.890489914
494,Event_494,Workshop,ECE,Tuesday,Summer,Afternoon,68,32,Medium,4.0,2.470588235
243,Event_243,Workshop,Mechanical,Monday,Summer,Evening,276,247,High,5.0,3.594202899
494,Event_494,Workshop,ECE,Tuesday,Summer,Afternoon,68,51,Medium,4.0,2.470588235
300,Event_300,Workshop,Mechanical,Thursday,Winter,Evening,151,111,High,1.0,1.483443709
461,Event_461,Workshop,CSE,Tuesday,Monsoon,Evening,52,24,Medium,3.0,1.192307692
104,Event_104,Cultural,Management,Tuesday,Winter,Afternoon,102,51,Medium,5.0,2.794117647
507,Event_507,Seminar,Civil,Friday,Monsoon,Afternoon,322,287,High,3.0,1.776397516
598,Event_598,Hackathon,Mechanical,Saturday,Monsoon,Afternoon,453,111,Low,5.0,0.93598234
312,Event_312,Sports,Mechanical,Thursday,Summer,Evening,66,43,High,4.0,2.272727273
497,Event_497,Sports,ECE,Thursday,Winter,Evening,423,141,Low,3.0,1.056737589
202,Event_202,Sports,CSE,Wednesday,Monsoon,Morning,235,67,Low,1.0,0.485106383
602,Event_602,Seminar,ECE,Tuesday,Monsoon,Evening,364,298,High,2.0,2.398351648
329,Event_329,Cultural,Civil,Friday,Monsoon,Afternoon,321,104,Low,4.0,1.196261682
524,Event_524,Sports,Mechanical,Monday,Winter,Evening,130,74,Medium,4.0,2.769230769
553,Event_553,Cultural,ECE,Saturday,Summer,Afternoon,426,78,Low,3.0,0.403755869
350,Event_350,Hackathon,CSE,Thursday,Monsoon,Morning,56,31,Medium,4.0,1.821428571
37,Event_37,Sports,CSE,Thursday,Winter,Evening,86,25,Low,5.0,1.569767442
279,Event_279,Sports,Mechanical,Saturday,Winter,Evening,487,184,Low,1.0,0.367556468
125,Event_125,Workshop,CSE,Monday,Monsoon,Morning,123,40,Low,4.0,1.300813008
651,Event_651,Cultural,Management,Monday,Winter,Morning,95,49,Medium,2.0,0.863157895
437,Event_437,Cultural,ECE,Friday,Summer,Afternoon,103,56,Medium,2.0,1.922330097
633,Event_633,Seminar,Civil,Friday,Summer,Evening,89,33,Low,1.0,0.258426966
700,Event_700,Cultural,Mechanical,Monday,Summer,Evening,433,110,Low,5.0,0.951501155
172,Event_172,Workshop,Civil,Friday,Summer,Evening,474,114,Low,1.0,0.464135021
516,Event_516,Sports,Mechanical,Saturday,Summer,Evening,190,87,Medium,1.0,0.852631579
390,Event_390,Cultural,CSE,Tuesday,Summer,Evening,361,209,Medium,2.0,1.135734072
474,Event_474,Hackathon,ECE,Wednesday,Summer,Morning,60,48,High,2.0,0.85
599,Event_599,Hackathon,Civil,Thursday,Winter,Morning,165,140,High,4.0,3.393939394
76,Event_76,Cultural,CSE,Monday,Winter,Evening,65,23,Low,1.0,0.353846154
634,Event_634,Sports,CSE,Thursday,Monsoon,Morning,182,52,Low,2.0,0.549450549
203,Event_203,Workshop,Management,Saturday,Summer,Evening,267,95,Low,3.0,1.101123596
585,Event_585,Sports,Management,Tuesday,Summer,Morning,222,87,Low,2.0,1.148648649
365,Event_365,Seminar,CSE,Monday,Winter,Morning,313,88,Low,5.0,1.453674121
235,Event_235,Workshop,Management,Friday,Winter,Evening,353,351,High,2.0,2.932011331
495,Event_495,Hackathon,Management,Thursday,Winter,Afternoon,360,296,High,4.0,3.388888889
406,Event_406,Hackathon,Management,Friday,Winter,Afternoon,74,49,High,5.0,2.972972973
193,Event_193,Seminar,ECE,Tuesday,Summer,Morning,190,137,High,2.0,0.773684211
150,Event_150,Seminar,Mechanical,Tuesday,Monsoon,Morning,387,264,Medium,5.0,3.410852713
238,Event_238,Seminar,CSE,Tuesday,Winter,Evening,90,39,Low,1.0,0.755555556
133,Event_133,Seminar,ECE,Thursday,Summer,Morning,227,124,Medium,5.0,2.841409692
662,Event_662,Cultural,,Thursday,Monsoon,Afternoon,89,12,Low,3.0,0.449438202
454,Event_454,Hackathon,CSE,Thursday,Monsoon,Evening,259,220,High,1.0,0.849420849
384,Event_384,Seminar,ECE,Wednesday,Monsoon,Evening,53,38,High,3.0,3.547169811
500,Event_500,Workshop,ECE,Thursday,Monsoon,Morning,309,147,Medium,5.0,1.851132686
424,Event_424,Cultural,Mechanical,Friday,Summer,Morning,106,99,High,1.0,0.867924528
332,Event_332,Cultural,ECE,Thursday,Monsoon,Morning,141,60,Medium,5.0,2.411347518
2,Event_2,Hackathon,Mechanical,Saturday,Summer,Morning,163,107,Medium,1.0,0.687116564
137,Event_137,Seminar,ECE,Thursday,Monsoon,Afternoon,457,317,High,4.0,2.853391685
246,Event_246,Sports,Mechanical,Saturday,Monsoon,Morning,429,99,Low,3.0,0.452214452
588,Event_588,Workshop,ECE,Saturday,Monsoon,Afternoon,230,68,Low,2.0,0.52173913
55,Event_55,Sports,Mechanical,Saturday,Winter,Evening,72,22,Low,4.0,0.708333333
490,Event_490,Cultural,Civil,Tuesday,Summer,Evening,188,63,Low,2.0,0.893617021
361,Event_361,Seminar,CSE,Saturday,Summer,Afternoon,160,143,High,3.0,2.6625
566,Event_566,Seminar,Civil,Monday,Summer,Morning,178,63,Low,2.0,0.348314607
408,Event_408,Seminar,Management,Monday,Summer,Afternoon,350,305,High,4.0,3.6
493,Event_493,Seminar,Management,Wednesday,Summer,Afternoon,323,141,Medium,3.0,0.817337461
439,Event_439,Seminar,,Wednesday,Winter,Morning,483,147,Low,4.0,1.217391304
412,Event_412,Cultural,Civil,Monday,Summer,Afternoon,409,403,High,3.0,2.93398533
344,Event_344,Seminar,CSE,Wednesday,Winter,Evening,440,329,High,5.0,3.063636364
696,Event_696,Cultural,Mechanical,Tuesday,Winter,Morning,134,93,High,3.0,2.149253731
16,Event_16,Cultural,Civil,Friday,Monsoon,Afternoon,218,86,Low,2.0,1.059633028
23,Event_23,Seminar,ECE,Monday,Winter,Morning,352,89,Low,4.0,0.84375
480,Event_480,Hackathon,CSE,Thursday,Monsoon,Morning,117,43,Low,3.0,0.64957265
203,Event_203,Workshop,Management,Saturday,Summer,Evening,267,96,Low,2.0,1.101123596
695,Event_695,Workshop,ECE,Monday,Winter,Morning,471,156,Low,1.0,0.632696391
681,Event_681,Hackathon,CSE,Tuesday,Winter,Morning,230,189,High,2.0,1.652173913
303,Event_303,Workshop,Civil,Wednesday,Winter,Morning,386,169,Medium,,1.235751295
278,Event_278,Sports,ECE,Tuesday,Summer,Evening,359,82,Low,1.0,0.211699164
317,Event_317,Sports,Management,Saturday,Summer,Evening,78,55,Medium,4.0,3.205128205
613,Event_613,Hackathon,ECE,Tuesday,Summer,Afternoon,474,257,Medium,1.0,0.523206751
120,Event_120,Cultural,Civil,Thursday,Winter,Evening,386,366,High,2.0,2.79015544
621,Event_621,Hackathon,ECE,Thursday,Winter,Morning,198,120,Medium,3.0,1.262626263
26,Event_26,Sports,CSE,Wednesday,Summer,Evening,419,402,High,2.0,0.976133652
350,Event_350,Hackathon,CSE,Thursday,Monsoon,Morning,56,34,Medium,3.0,1.821428571
453,Event_453,Hackathon,Mechanical,Monday,Winter,Evening,495,393,High,2.0,1.587878788
663,Event_663,Workshop,,Thursday,Monsoon,Evening,496,287,Medium,5.0,2.893145161
173,Event_173,Cultural,CSE,Friday,Winter,Morning,439,370,High,3.0,2.528473804
409,Event_409,Hackathon,Mechanical,Thursday,Winter,Morning,388,379,High,3.0,1.932989691
692,Event_692,Hackathon,CSE,Thursday,Monsoon,Afternoon,217,113,Medium,5.0,2.488479263
649,Event_649,Workshop,CSE,Thursday,Summer,Afternoon,161,106,High,3.0,2.782608696
423,Event_423,Cultural,Management,Thursday,Winter,Afternoon,237,170,High,3.0,2.151898734
620,Event_620,Seminar,ECE,Friday,Winter,Afternoon,484,358,High,1.0,0.75
666,Event_666,Workshop,ECE,Monday,Summer,Evening,73,60,High,4.0,4.315068493
461,Event_461,Workshop,CSE,Tuesday,Monsoon,Evening,52,25,Medium,2.0,1.192307692
463,Event_463,Hackathon,Mechanical,Tuesday,Winter,Afternoon,142,65,Medium,,2.429577465
43,Event_43,Seminar,ECE,Tuesday,Summer,Afternoon,185,135,High,4.0,3.72972973
592,Event_592,Workshop,Civil,Saturday,Summer,Evening,498,291,Medium,4.0,2.385542169
314,Event_314,Workshop,CSE,Saturday,Winter,Morning,231,152,Medium,3.0,1.857142857
664,Event_664,Sports,Mechanical,Saturday,Winter,Evening,238,83,Low,3.0,0.621848739
84,Event_84,Hackathon,Mechanical,Thursday,Winter,Evening,193,164,High,2.0,1.626943005
4,Event_4,Hackathon,Civil,Friday,Monsoon,Afternoon,398,176,Medium,3.0,0.894472362
263,Event_263,Hackathon,ECE,Thursday,Monsoon,Morning,222,143,Medium,3.0,2.702702703
103,Event_103,Seminar,Civil,Saturday,Winter,Evening,280,77,Low,4.0,1.1
251,Event_251,Workshop,Civil,Monday,Monsoon,Evening,149,108,High,2.0,1.583892617
666,Event_666,Workshop,ECE,Monday,Summer,Evening,73,60,High,5.0,4.315068493
400,Event_400,Cultural,ECE,Saturday,Summer,Morning,108,87,High,2.0,0.898148148
70,Event_70,Seminar,CSE,Saturday,Summer,Afternoon,339,68,Low,4.0,0.619469027
199,Event_199,Hackathon,CSE,Monday,Summer,Afternoon,228,124,Medium,4.0,2.280701754
195,Event_195,Seminar,CSE,Wednesday,Monsoon,Morning,226,93,Medium,4.0,2.03539823
559,Event_559,Workshop,Mechanical,Tuesday,Monsoon,Afternoon,277,183,Medium,2.0,0.667870036
515,Event_515,Seminar,CSE,Tuesday,Winter,Morning,57,17,Medium,1.0,0.456140351
645,Event_645,Hackathon,ECE,Tuesday,Winter,Morning,441,363,High,2.0,0.83446712
674,Event_674,Seminar,Mechanical,Friday,Monsoon,Evening,297,83,Low,5.0,1.498316498
449,Event_449,Workshop,ECE,Friday,Summer,Evening,439,416,High,3.0,1.867881549
136,Event_136,Sports,Civil,Wednesday,Summer,Afternoon,102,59,Medium,4.0,2.31372549
110,Event_110,Sports,Management,Friday,Monsoon,Morning,486,311,Medium,4.0,3.137860082
129,Event_129,Hackathon,ECE,Tuesday,Monsoon,Afternoon,197,125,Medium,3.0,2.659898477
457,Event_457,Hackathon,CSE,Thursday,Monsoon,Morning,351,72,Low,1.0,0.415954416
583,Event_583,Workshop,Management,Thursday,Winter,Morning,66,10,Low,1.0,0.393939394
564,Event_564,Seminar,CSE,Friday,Monsoon,Morning,204,201,High,2.0,1.980392157
494,Event_494,Workshop,ECE,Tuesday,Summer,Afternoon,68,43,Medium,3.0,2.470588235
14,Event_14,Cultural,Mechanical,Wednesday,Monsoon,Morning,253,62,Low,1.0,0.245059289
113,Event_113,Hackathon,CSE,Thursday,Summer,Morning,452,337,High,3.0,2.89380531
277,Event_277,Hackathon,Management,Saturday,Summer,Evening,77,78,High,3.0,3.584415584
338,Event_338,Seminar,Mechanical,Friday,Winter,Morning,224,153,High,2.0,1.455357143
476,Event_476,Hackathon,CSE,Monday,Winter,Afternoon,205,41,Low,4.0,0.629268293
296,Event_296,Hackathon,ECE,Thursday,Summer,Morning,123,76,Medium,5.0,2.666666667
388,Event_388,Cultural,Mechanical,Monday,Winter,Evening,168,98,Medium,4.0,1.892857143
463,Event_463,Hackathon,Mechanical,Tuesday,Winter,Afternoon,142,69,Medium,,2.429577465
15,Event_15,Seminar,Mechanical,Thursday,Monsoon,Morning,243,86,Low,1.0,0.395061728
574,Event_574,Sports,Civil,Friday,Summer,Morning,166,55,Low,1.0,0.759036145
450,Event_450,Cultural,Civil,Thursday,Monsoon,Afternoon,343,202,Medium,3.0,1.679300292
429,Event_429,Hackathon,Civil,Saturday,Monsoon,Evening,331,104,Low,5.0,1.555891239
459,Event_459,Cultural,ECE,Friday,Winter,Morning,272,128,Medium,1.0,0.452205882
437,Event_437,Cultural,ECE,Friday,Summer,Afternoon,103,67,Medium,4.0,1.922330097
367,Event_367,Seminar,Civil,Monday,Summer,Evening,266,108,Low,3.0,1.563909774
355,Event_355,Cultural,Management,Friday,Summer,Morning,65,52,High,4.0,3.2
237,Event_237,Workshop,CSE,Saturday,Winter,Evening,77,78,High,2.0,1.766233766
609,Event_609,Cultural,Civil,Thursday,Winter,Morning,450,371,High,4.0,4.088888889
194,Event_194,Cultural,Civil,Thursday,Winter,Evening,132,97,Medium,3.0,2.666666667
187,Event_187,Hackathon,ECE,Tuesday,Summer,Afternoon,211,187,High,3.0,1.857819905
145,Event_145,Seminar,Management,Wednesday,Winter,Afternoon,313,123,Low,4.0,1.571884984
381,Event_381,Cultural,CSE,Saturday,Summer,Morning,173,66,Low,5.0,1.907514451
133,Event_133,Seminar,ECE,Thursday,Summer,Morning,227,130,Medium,5.0,2.841409692
663,Event_663,Workshop,,Thursday,Monsoon,Evening,496,287,Medium,5.0,2.893145161
286,Event_286,Hackathon,Mechanical,Wednesday,Monsoon,Afternoon,62,57,High,2.0,2.419354839
122,Event_122,Seminar,Civil,Monday,Winter,Morning,72,62,High,5.0,4.305555556
511,Event_511,Sports,Management,Tuesday,Monsoon,Morning,385,273,Medium,1.0,1.366233766
227,Event_227,Cultural,ECE,Saturday,Winter,Morning,70,32,Low,1.0,0.385714286
517,Event_517,Cultural,Mechanical,Tuesday,Monsoon,Evening,411,403,High,1.0,1.941605839
419,Event_419,Hackathon,,Friday,Summer,Evening,101,47,Medium,5.0,2.326732673
152,Event_152,Workshop,Management,Thursday,Summer,Afternoon,403,137,Low,3.0,0.945409429
500,Event_500,Workshop,ECE,Thursday,Monsoon,Morning,309,149,Medium,4.0,1.851132686
488,Event_488,Sports,Mechanical,Tuesday,Summer,Evening,495,298,Medium,5.0,2.35959596
269,Event_269,Hackathon,Civil,Friday,Summer,Morning,312,87,Low,3.0,0.493589744
388,Event_388,Cultural,Mechanical,Monday,Winter,Evening,168,100,Medium,3.0,1.892857143
27,Event_27,Sports,Civil,Wednesday,Monsoon,Afternoon,313,105,Low,5.0,1.226837061
620,Event_620,Seminar,ECE,Friday,Winter,Afternoon,484,358,High,1.0,0.75
556,Event_556,Hackathon,Management,Saturday,Monsoon,Morning,190,67,Low,3.0,1.057894737
288,Event_288,Hackathon,Civil,Wednesday,Monsoon,Morning,98,49,Medium,5.0,2.602040816
500,Event_500,Workshop,ECE,Thursday,Monsoon,Morning,309,141,Medium,5.0,1.851132686
117,Event_117,Cultural,CSE,Thursday,Winter,Evening,330,101,Low,3.0,0.624242424
689,Event_689,Workshop,Mechanical,Thursday,Monsoon,Morning,406,374,High,3.0,3.753694581
109,Event_109,Sports,CSE,Saturday,Summer,Evening,207,56,Low,5.0,1.449275362
626,Event_626,Cultural,Mechanical,Thursday,Winter,Morning,452,157,Low,1.0,0.703539823
444,Event_444,Sports,,Thursday,Monsoon,Evening,273,244,High,4.0,3.663003663
672,Event_672,Workshop,Management,Saturday,Summer,Morning,482,215,Medium,5.0,2.136929461
432,Event_432,Workshop,CSE,Tuesday,Monsoon,Afternoon,54,11,Low,,0.722222222
207,Event_207,Hackathon,Management,Friday,Summer,Evening,266,69,Low,4.0,1.165413534
10,Event_10,Hackathon,CSE,Tuesday,Winter,Afternoon,347,106,Low,4.0,0.890489914
391,Event_391,Workshop,Management,Thursday,Monsoon,Afternoon,145,70,Medium,3.0,1.406896552
694,Event_694,Workshop,Mechanical,Tuesday,Monsoon,Evening,152,34,Low,5.0,1.151315789
175,Event_175,Seminar,CSE,Wednesday,Summer,Afternoon,477,192,Low,2.0,0.788259958
217,Event_217,Seminar,Mechanical,Saturday,Summer,Afternoon,150,125,High,5.0,3.6
195,Event_195,Seminar,CSE,Wednesday,Monsoon,Morning,226,92,Medium,5.0,2.03539823
518,Event_518,Hackathon,ECE,Tuesday,Winter,Morning,57,44,High,1.0,1.719298246
578,Event_578,Seminar,Management,Monday,Monsoon,Morning,162,59,Low,3.0,0.666666667
62,Event_62,Seminar,Mechanical,Friday,Winter,Morning,407,249,Medium,2.0,1.272727273
19,Event_19,Workshop,ECE,Monday,Winter,Afternoon,233,154,Medium,2.0,0.64806867
363,Event_363,Seminar,Civil,Thursday,Winter,Afternoon,209,62,Low,4.0,1.507177033
144,Event_144,Seminar,CSE,Wednesday,Monsoon,Morning,108,43,Low,1.0,0.314814815
273,Event_273,Workshop,Management,Thursday,Winter,Morning,77,19,Low,3.0,1.298701299
524,Event_524,Sports,Mechanical,Monday,Winter,Evening,130,74,Medium,5.0,2.769230769
397,Event_397,Hackathon,Civil,Tuesday,Winter,Morning,327,255,High,1.0,0.79204893
514,Event_514,Seminar,Civil,Wednesday,Summer,Morning,296,80,Low,4.0,1.334459459
115,Event_115,Workshop,ECE,Thursday,Winter,Afternoon,324,147,Medium,4.0,1.37037037
415,Event_415,Workshop,Mechanical,Monday,Monsoon,Morning,461,370,High,5.0,4.013015184
269,Event_269,Hackathon,Civil,Friday,Summer,Morning,312,77,Low,2.0,0.493589744
260,Event_260,Cultural,CSE,Monday,Monsoon,Morning,149,41,Low,5.0,1.610738255
655,Event_655,Hackathon,Civil,Tuesday,Monsoon,Afternoon,320,302,High,5.0,4.71875
70,Event_70,Seminar,CSE,Saturday,Summer,Afternoon,339,73,Low,2.0,0.619469027
95,Event_95,Workshop,Civil,Monday,Winter,Evening,441,108,Low,1.0,0.247165533
287,Event_287,Seminar,Management,Friday,Winter,Afternoon,362,272,High,4.0,2.29558011
367,Event_367,Seminar,Civil,Monday,Summer,Evening,266,106,Low,3.0,1.563909774
419,Event_419,Hackathon,,Friday,Summer,Evening,101,54,Medium,5.0,2.326732673
